year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,Andhra Pradesh,9,Rajam (SC),CHAITANYA KUMAR MANNENA,MALE,39,SC,BJP,Lotus,924,43,967,0.594952441,220006
2019,Andhra Pradesh,9,Rajam (SC),MANNENA RAMESH,MALE,36,SC,PRSHP,Helicopter,505,,505,0.310704222,220006
2019,Andhra Pradesh,9,Rajam (SC),NOTA,,,,NOTA,NOTA,3583,4,3587,2.206922859,220006
2019,Andhra Pradesh,9,Rajam (SC),KAMBALA JOGULU,MALE,52,SC,YSRCP,Ceiling Fan,82569,992,83561,51.411397,220006
2019,Andhra Pradesh,9,Rajam (SC),KONDRU MURALI MOHAN,MALE,49,SC,TDP,Bicycle,66272,441,66713,41.04556585,220006
2019,Andhra Pradesh,9,Rajam (SC),MUTCHA SRINIVASA RAO,MALE,39,SC,JnP,Glass Tumbler,4924,63,4987,3.068281098,220006
2019,Andhra Pradesh,9,Rajam (SC),KAMBALA RAJAVARDHANA,MALE,36,SC,INC,Hand,2205,9,2214,1.362176529,220006
2019,Andhra Pradesh,9,Rajam (SC),CHAITANYA KUMAR MANNENA,MALE,39,SC,BJP,Lotus,924,43,967,0.594952441,220006
2014,Andhra Pradesh,10,Palakonda  (ST),VISWASARAYI KALAVATHI,FEMALE,53,ST,YSRCP,Ceiling Fan,70778,1276,72054,52.7049564,184967
2014,Andhra Pradesh,10,Palakonda  (ST),SUNEETHA THADANGI,FEMALE,28,ST,BJP,Lotus,1121,48,1169,0.855082217,184967
2014,Andhra Pradesh,10,Palakonda  (ST),GANGAMMA SAVARA,FEMALE,48,ST,IND,Battery Torch,730,2,732,0.535432149,184967
2014,Andhra Pradesh,10,Palakonda  (ST),NOTA,,,,NOTA,NOTA,3544,4,3548,2.595236702,184967
2014,Andhra Pradesh,10,Palakonda  (ST),JAYAKRISHNA NIMMAKA,MALE,39,ST,TDP,Bicycle,53622,452,54074,39.55322137,184967
2014,Andhra Pradesh,10,Palakonda  (ST),DVG SANKARA RAO,MALE,50,ST,CPI,Ears of Corn And Sickle,3283,60,3343,2.445286442,184967
2014,Andhra Pradesh,10,Palakonda  (ST),H. PRASAD RAO,MALE,39,ST,INC,Hand,994,7,1001,0.73219615,184967
2014,Andhra Pradesh,10,Palakonda  (ST),ARIKA KRISHNA RAO,MALE,58,ST,IND,Gas Cylinder,786,5,791,0.578588566,184967
2019,Andhra Pradesh,10,Palakonda  (ST),VISWASARAYI KALAVATHI,FEMALE,53,ST,YSRCP,Ceiling Fan,70778,1276,72054,52.7049564,184967
2019,Andhra Pradesh,10,Palakonda  (ST),SUNEETHA THADANGI,FEMALE,28,ST,BJP,Lotus,1121,48,1169,0.855082217,184967
2019,Andhra Pradesh,10,Palakonda  (ST),GANGAMMA SAVARA,FEMALE,48,ST,IND,Battery Torch,730,2,732,0.535432149,184967
2019,Andhra Pradesh,10,Palakonda  (ST),NOTA,,,,NOTA,NOTA,3544,4,3548,2.595236702,184967
2019,Andhra Pradesh,10,Palakonda  (ST),JAYAKRISHNA NIMMAKA,MALE,39,ST,TDP,Bicycle,53622,452,54074,39.55322137,184967
2019,Andhra Pradesh,10,Palakonda  (ST),DVG SANKARA RAO,MALE,50,ST,CPI,Ears of Corn And Sickle,3283,60,3343,2.445286442,184967
2019,Andhra Pradesh,10,Palakonda  (ST),H. PRASAD RAO,MALE,39,ST,INC,Hand,994,7,1001,0.73219615,184967
2019,Andhra Pradesh,10,Palakonda  (ST),ARIKA KRISHNA RAO,MALE,58,ST,IND,Gas Cylinder,786,5,791,0.578588566,184967
2014,Andhra Pradesh,11,Kurupam,PUSHPASREEVANI . PAMULA,FEMALE,33,ST,YSRCP,Ceiling Fan,73863,664,74527,52.02292368,184259
2014,Andhra Pradesh,11,Kurupam,VEERA VARA THODRAMAL NARA SIMHA PRIYA THATRAJ,FEMALE,65,ST,TDP,Bicycle,47607,318,47925,33.45362912,184259
2014,Andhra Pradesh,11,Kurupam,NOTA,,,,NOTA,NOTA,4534,1,4535,3.165617278,184259
2014,Andhra Pradesh,11,Kurupam,AVINASH KUMAR KOLAKA,MALE,36,ST,CPM,"Hammer, Sickle and Star",8551,54,8605,6.006645353,184259
2014,Andhra Pradesh,11,Kurupam,NIMMAKA. JAYARAJU.,MALE,55,ST,BJP,Lotus,4137,67,4204,2.934565609,184259
2014,Andhra Pradesh,11,Kurupam,NIMMAKA SIMHACHALAM,MALE,39,ST,INC,Hand,2198,6,2204,1.538483017,184259
2014,Andhra Pradesh,11,Kurupam,NIMMAKA VASUDEVARAO,MALE,54,ST,IND,Hand Cart,1257,1,1258,0.878135951,184259
2019,Andhra Pradesh,11,Kurupam,PUSHPASREEVANI . PAMULA,FEMALE,33,ST,YSRCP,Ceiling Fan,73863,664,74527,52.02292368,184259
